movement_0,movement_1,movement_2,movement_3,movement_4,movement_5,movement_6,movement_7,movement_8,movement_9,movement_10,movement_11,movement_12,movement_13,movement_14,movement_15,movement_16,movement_17,movement_18,movement_19,movement_20,movement_21,movement_22,movement_23,movement_24,movement_25,movement_26,movement_27,movement_28,movement_29,movement_30,movement_31,movement_32,movement_33,movement_34,movement_35,label
250.43478260869568,453.9130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.1304347826087,281.7391304347826,862.6086956521739,422.60869565217394,973.9130434782608,516.5217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.2608695652174,406.9565217391304,0.0,0.0,333.9130434782609,328.69565217391306,0
313.0434782608696,453.9130434782609,396.5217391304348,453.9130434782609,313.0434782608696,438.2608695652174,250.43478260869568,469.5652173913044,166.95652173913044,532.1739130434783,480.0,469.5652173913044,521.7391304347826,563.4782608695652,459.1304347826087,657.3913043478261,0.0,0.0,0.0,0.0,730.4347826086956,422.60869565217394,563.4782608695652,406.9565217391304,688.695652173913,485.2173913043478,730.4347826086956,422.60869565217394,292.17391304347825,438.2608695652174,333.9130434782609,438.2608695652174,0.0,0.0,396.5217391304348,406.9565217391304,1
355.0434782608696,634.4347826086956,710.0869565217391,567.6521739130435,650.9130434782609,500.8695652173913,0.0,0.0,0.0,0.0,710.0869565217391,667.8260869565217,710.0869565217391,834.7826086956521,591.7391304347826,1001.7391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0434782608696,601.0434782608696,414.2173913043478,601.0434782608696,0.0,0.0,591.7391304347826,601.0434782608696,1
166.95652173913044,54.78260869565217,264.3478260869565,78.26086956521739,222.6086956521739,78.26086956521739,208.69565217391303,140.8695652173913,194.7826086956522,187.82608695652172,292.17391304347825,86.08695652173913,333.9130434782609,148.69565217391303,333.9130434782609,273.9130434782609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.8695652173913,39.130434782608695,0.0,0.0,236.5217391304348,31.30434782608696,0
0.0,0.0,292.17391304347825,125.21739130434784,333.9130434782609,125.21739130434784,361.7391304347826,180.0,0.0,0.0,264.3478260869565,117.3913043478261,0.0,0.0,0.0,0.0,278.2608695652174,180.0,320.0,219.1304347826087,320.0,273.9130434782609,236.5217391304348,180.0,264.3478260869565,219.1304347826087,278.2608695652174,250.43478260869568,0.0,0.0,0.0,0.0,347.8260869565217,93.91304347826087,292.17391304347825,86.08695652173913,0
556.5217391304348,267.1304347826087,445.2173913043478,317.2173913043478,445.2173913043478,333.9130434782609,489.7391304347826,434.0869565217391,534.2608695652174,450.7826086956522,445.2173913043478,300.5217391304348,0.0,0.0,0.0,0.0,333.9130434782609,384.0,267.1304347826087,450.7826086956522,89.04347826086956,350.60869565217394,333.9130434782609,367.3043478260869,222.6086956521739,83.47826086956522,267.1304347826087,300.5217391304348,556.5217391304348,267.1304347826087,0.0,0.0,534.2608695652174,250.43478260869568,0.0,0.0,0
555.1304347826087,184.7826086956522,495.6521739130435,228.2608695652174,416.3478260869565,228.2608695652174,436.1739130434783,347.8260869565217,475.82608695652175,434.7826086956522,574.9565217391304,228.2608695652174,594.7826086956521,315.2173913043478,634.4347826086956,402.1739130434783,337.0434782608696,293.4782608695652,277.5652173913044,434.7826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.304347826087,152.17391304347825,594.7826086956521,163.04347826086956,475.82608695652175,141.30434782608697,634.4347826086956,184.7826086956522,0
646.9565217391304,375.6521739130435,542.6086956521739,266.0869565217391,542.6086956521739,281.7391304347826,480.0,406.9565217391304,584.3478260869565,391.3043478260869,563.4782608695652,250.43478260869568,0.0,0.0,563.4782608695652,375.6521739130435,292.17391304347825,328.69565217391306,396.5217391304348,453.9130434782609,229.56521739130437,438.2608695652174,271.30434782608694,297.39130434782606,0.0,0.0,0.0,0.0,667.8260869565217,344.3478260869565,667.8260869565217,391.3043478260869,626.0869565217391,266.0869565217391,0.0,0.0,1
584.3478260869565,203.4782608695652,556.5217391304348,187.82608695652172,473.0434782608696,187.82608695652172,417.39130434782606,313.0434782608696,389.5652173913044,406.9565217391304,667.8260869565217,172.17391304347825,723.4782608695652,297.39130434782606,751.304347826087,391.3043478260869,500.8695652173913,297.39130434782606,0.0,0.0,0.0,0.0,640.0,297.39130434782606,0.0,0.0,0.0,0.0,528.695652173913,172.17391304347825,612.1739130434783,172.17391304347825,473.0434782608696,172.17391304347825,640.0,140.8695652173913,1
801.9130434782609,668.1521739130435,768.5,846.3260869565217,601.4347826086956,801.7826086956521,467.7826086956522,801.7826086956521,601.4347826086956,712.695652173913,902.1521739130436,846.3260869565217,768.5,979.9565217391304,568.0217391304348,846.3260869565217,434.3695652173913,1158.1304347826087,167.06521739130434,1158.1304347826087,0.0,0.0,634.8478260869565,1247.2173913043478,167.06521739130434,1158.1304347826087,334.1304347826087,1469.9347826086955,768.5,579.0652173913044,868.7391304347826,668.1521739130435,668.2608695652174,623.6086956521739,968.9782608695652,757.2391304347826,1
